symbol,starttime,start_LTP,endtime,end_LTP,change_pct,start_buySellRatio,end_buySellRatio,bidAskSpread_start,bidAskSpread_end
NSE:GABRIEL-EQ,2025-09-25 15:07:38.432777,1255.20,2025-09-25 15:10:12.753174,1246.10,0.701,0.6756,0.6348,0.1000,0.3000
NSE:GABRIEL-EQ,2025-09-25 15:10:13.157039,1246.50,2025-09-25 15:13:52.488344,1238.20,0.682,0.6359,0.5626,0.3000,0.7000
NSE:GAIL-EQ,2025-09-25 11:27:58.383952,175.81,2025-09-25 11:29:48.384526,177.01,0.665,0.8632,1.6962,0.0400,0.0400
NSE:GAIL-EQ,2025-09-25 11:29:48.884496,176.90,2025-09-25 11:46:22.861179,175.80,0.664,1.6557,0.7595,0.0900,0.0400
NSE:GALLANTT-EQ,2025-09-25 09:32:01.272518,661.00,2025-09-25 09:44:54.348261,666.85,0.813,0.9842,1.2177,0.5500,0.5000
NSE:GALLANTT-EQ,2025-09-25 09:44:56.401764,668.40,2025-09-25 09:50:22.311270,671.20,0.780,1.2177,1.3899,0.5000,0.5000
NSE:GALLANTT-EQ,2025-09-25 09:50:23.500309,670.95,2025-09-25 09:53:57.371619,676.80,0.744,1.3899,1.3740,0.5000,0.5000
NSE:GALLANTT-EQ,2025-09-25 09:54:02.264866,676.80,2025-09-25 10:01:55.312804,672.45,0.661,1.3310,0.8476,0.3500,0.3000
NSE:GALLANTT-EQ,2025-09-25 10:01:56.518402,672.45,2025-09-25 10:11:26.070533,667.75,0.703,0.8478,0.6865,0.3500,0.5000
NSE:GALLANTT-EQ,2025-09-25 11:10:03.135608,666.00,2025-09-25 11:39:53.525533,661.15,0.668,0.8094,0.6388,0.3000,0.4000
NSE:GALLANTT-EQ,2025-09-25 11:45:12.128460,662.00,2025-09-25 12:08:53.968091,657.50,0.661,0.7312,0.6374,0.2500,0.7000
NSE:GALLANTT-EQ,2025-09-25 12:08:58.790262,657.50,2025-09-25 12:13:45.334595,662.60,0.722,0.6394,0.8542,0.6000,0.4000
NSE:GALLANTT-EQ,2025-09-25 13:23:32.126050,663.15,2025-09-25 13:43:57.474340,668.50,0.686,0.8659,0.9559,0.4500,0.4500
NSE:GALLANTT-EQ,2025-09-25 13:43:58.787194,665.05,2025-09-25 13:45:58.115955,664.05,0.722,0.9578,0.7627,0.3000,0.4500
NSE:GALLANTT-EQ,2025-09-25 14:43:14.324964,666.40,2025-09-25 15:05:45.185701,662.20,0.660,0.8741,0.8849,0.5000,0.6000
NSE:GANDHITUBE-EQ,2025-09-25 10:32:48.186060,910.00,2025-09-25 11:02:45.210188,904.10,0.709,2.9181,2.7821,0.4000,0.7000
NSE:GANDHITUBE-EQ,2025-09-25 11:02:50.337579,904.10,2025-09-25 11:28:49.363971,897.05,0.669,2.8009,3.2756,0.7000,1.4000
NSE:GANDHITUBE-EQ,2025-09-25 11:28:56.659763,897.05,2025-09-25 11:44:19.911957,906.60,1.016,3.2694,3.7622,1.5500,3.7000
NSE:GANDHITUBE-EQ,2025-09-25 11:44:25.541606,906.60,2025-09-25 12:01:08.465627,901.55,0.684,3.7705,3.4321,3.7000,1.3000
NSE:GANDHITUBE-EQ,2025-09-25 12:02:05.582005,901.55,2025-09-25 12:14:20.271321,890.30,0.955,3.4223,2.8665,1.1500,3.7500
NSE:GANDHITUBE-EQ,2025-09-25 12:15:08.189926,886.20,2025-09-25 12:36:32.908415,894.55,0.760,2.7854,3.1408,1.7500,1.7500
NSE:GANDHITUBE-EQ,2025-09-25 12:36:37.036961,894.50,2025-09-25 12:55:00.169581,889.00,0.693,3.1408,3.1149,1.7500,1.2500
NSE:GANDHITUBE-EQ,2025-09-25 12:55:05.348263,889.00,2025-09-25 13:12:54.054810,894.50,0.743,3.1135,3.2877,1.2500,1.4500
NSE:GANDHITUBE-EQ,2025-09-25 13:44:02.790970,896.90,2025-09-25 14:11:13.275408,891.30,0.743,3.4423,3.2753,1.4500,2.9000
NSE:GANDHITUBE-EQ,2025-09-25 14:11:19.244367,891.30,2025-09-25 14:24:17.496013,897.20,0.701,3.2400,3.0549,2.5000,3.7000
NSE:GANDHITUBE-EQ,2025-09-25 14:24:22.375913,897.20,2025-09-25 14:40:31.888688,891.95,0.749,3.0280,3.4077,3.0500,1.9000
NSE:GANDHITUBE-EQ,2025-09-25 14:41:05.941735,892.15,2025-09-25 15:06:38.590245,888.80,0.678,3.4120,3.5001,2.0500,1.3500
NSE:GANDHITUBE-EQ,2025-09-25 15:07:03.513280,888.80,2025-09-25 15:13:04.378193,892.25,0.663,3.4805,4.3425,0.7500,1.6000
NSE:GARUDA-EQ,2025-09-25 09:32:03.565982,196.67,2025-09-25 09:44:51.158915,198.00,0.706,0.4531,0.5005,0.1800,0.0800
NSE:GARUDA-EQ,2025-09-25 09:44:57.619788,198.09,2025-09-25 09:47:49.656031,196.51,0.780,0.5005,0.4191,0.0800,0.2100
NSE:GARUDA-EQ,2025-09-25 09:57:53.377321,197.90,2025-09-25 10:17:07.983539,196.43,0.670,0.4656,0.3514,0.1200,0.1900
NSE:GARUDA-EQ,2025-09-25 10:17:09.526041,196.73,2025-09-25 10:30:38.404820,195.60,0.779,0.3795,0.3082,0.1900,0.2000
NSE:GARUDA-EQ,2025-09-25 10:30:44.028521,195.46,2025-09-25 10:42:21.234051,194.13,0.698,0.3176,0.3166,0.1300,0.1400
NSE:GARUDA-EQ,2025-09-25 10:52:34.025851,194.63,2025-09-25 11:08:39.719844,193.40,0.660,0.3621,0.3280,0.0400,0.0500
NSE:GARUDA-EQ,2025-09-25 11:33:37.147766,194.02,2025-09-25 12:03:34.226605,192.70,0.796,0.4072,0.3106,0.1400,0.1100
